arquivo,melhor_iou,brilho
track0089-01-_png_jpg.rf.aec69f564cecbdf7516971370857a3a7.jpg,0.843999981880188,112.7
NZW2197_jpg.rf.f7cdad4cd7f388eca3b9f4f65b2d5f87.jpg,0.843999981880188,89.3
track0127-01-_png_jpg.rf.856110e252abeda966f37c56c417ebad.jpg,0.843999981880188,130.0
track0084-01-_png_jpg.rf.c7e7908b77e3f8ca75a121d4ec68b5ed.jpg,0.8460000157356262,117.9
17803737_jpg.rf.aad86ac2e37eaac7df6b8d3e7ad48be8.jpg,0.8519999980926514,37.4
19854012_jpg.rf.661c5843b17fb4e5bcdbad8c2d69f9b5.jpg,0.8560000061988831,79.1
DCAM0085_JPG_jpg.rf.93cc956a0de8c337ebd827f037e1d004.jpg,0.8579999804496765,100.0
track0032-01-_png_jpg.rf.9bd6775b2bb361bfd18e49184df64cb4.jpg,0.859000027179718,125.5
DCAM0062_JPG_jpg.rf.340b406a4fcc2deb4d4fcd2d7e85a782.jpg,0.8600000143051147,78.5
20201229_132437096952_png_jpg.rf.f27cf0f40b07bd4d46afb8235b28f29d.jpg,0.8610000014305115,127.3
track0068-01-_png_jpg.rf.b182261560cb9f1071787a266153bfe2.jpg,0.8619999885559082,118.3
DCAM0098_JPG_jpg.rf.780f7646e140b7d9fc367c417a97a1da.jpg,0.8629999756813049,89.0
17800104_jpg.rf.571cfa4aff3cb15674ed6d6e651c0d6a.jpg,0.8629999756813049,83.2
20201229_132129710869_png_jpg.rf.081aa9474c4332a38aa10acc21536d6a.jpg,0.8650000095367432,140.5
19806401_jpg.rf.69702b39f4a39281b586b72605b83188.jpg,0.8659999966621399,89.6
DCAM0091_JPG_jpg.rf.b7bd5793390ae0554d03f1a277e0e415.jpg,0.8669999837875366,90.8
20201229_132137769232_png_jpg.rf.618728da2273f0b40abec35566cf6519.jpg,0.8669999837875366,134.3
DCAM0037_JPG_jpg.rf.7a8d479d0c6c69e09cb6bfc5ea211287.jpg,0.8679999709129333,87.7
plate8_jpg.rf.57189b580bf7968c94485cfa457b7ce7.jpg,0.8679999709129333,85.5
19957176_jpg.rf.7c321359faa204a53e58689c7dba5d77.jpg,0.8679999709129333,94.4
20201230_081435184609_png_jpg.rf.ea9f0f7c2205e463878323588b675a45.jpg,0.8690000176429749,129.1
17804741_jpg.rf.a3515f8525befd226e9cdb8f8773769d.jpg,0.8700000047683716,41.5
20201229_132317453010_png_jpg.rf.52f0330756e4006d08349eaad8fd427d.jpg,0.8740000128746033,133.3
17709690_jpg.rf.2ebcfdc64ae5735fe10b764e19f25ba0.jpg,0.875,74.8
20201229_132316566491_png_jpg.rf.dd7aee67ae6556c1916d94722f75de41.jpg,0.8769999742507935,127.1
18674271_jpg.rf.3d580eca5bdf70aee0d256343912dbb4.jpg,0.878000020980835,73.5
20201229_132341998270_png_jpg.rf.d826a7663a5c71c12d464bcd55f20a40.jpg,0.8809999823570251,115.4
DCAM0074_JPG.rf.a0c67ce6657e5ea4426d2469d7acbae2.jpg,0.8820000290870667,71.5
18583396_jpg.rf.c40ac7cf3504277ca5f2f8dff938372c.jpg,0.8830000162124634,125.6
20201229_132411804896_png_jpg.rf.bf673151ae824799e75eddc3987d7b28.jpg,0.8849999904632568,140.4
20201229_132326528341_png_jpg.rf.03eb88c57047826a5d2364d1a7029347.jpg,0.8859999775886536,136.4
DCAM0006_JPG_jpg.rf.46212bae27a2a361339ad9b96e2b6b32.jpg,0.8870000243186951,77.5
18672547_jpg.rf.0f72b05393bb98b99eef747c54ea3859.jpg,0.8870000243186951,88.2
18681985_jpg.rf.6e2c7b37903d4285788f605af079c7cb.jpg,0.8880000114440918,88.9
images-1-_png_jpg.rf.1c86e6cd06d8a4fa92425c20c16a8a7a.jpg,0.8889999985694885,114.2
DCAM0094_JPG_jpg.rf.0462aeea72152ee61527cf4a762a0557.jpg,0.8889999985694885,92.7
20201229_132132064988_png_jpg.rf.ea5815933ccaf5c3dfee80b3129d78bf.jpg,0.8889999985694885,130.4
20201229_132215678357_png_jpg.rf.7914529de35bb547fa1fba5407971e1a.jpg,0.8889999985694885,128.4
track0126-01-_png_jpg.rf.1abea79ea4804564c9e659a471ab5a0c.jpg,0.8899999856948853,140.9
20201229_132416125353_png_jpg.rf.66255f1de9a28e47f8ebebfd90153036.jpg,0.890999972820282,134.5
20201229_132326672632_png_jpg.rf.a2797fb25ed72b20e732d6e865817df5.jpg,0.890999972820282,137.1
20201229_132215531733_png_jpg.rf.789e655a3f7cfe052f156dd162fc49b1.jpg,0.8930000066757202,125.1
18575600_jpg.rf.a639534c12f461d48b1e07200b41e4f2.jpg,0.8930000066757202,63.9
track0150-01-_png_jpg.rf.c804196e7910f9377fc7807ba43a9470.jpg,0.8939999938011169,123.1
images160_jpg.rf.af37fefe5b396a68038beba069a3134c.jpg,0.8939999938011169,93.8
18086810_jpg.rf.11a1e82c760ae3bbbb69c1802765e116.jpg,0.8949999809265137,87.1
track0111-01-_png_jpg.rf.ddfa3f43e8d2faffcff5632850aeb9ef.jpg,0.8949999809265137,136.6
20201229_132341843269_png_jpg.rf.cd004548a9f02384b0c15ef4e82bcec9.jpg,0.8960000276565552,115.5
20201229_132332117319_png_jpg.rf.676737f2ac2d3c82011d48cecee50815.jpg,0.8970000147819519,129.3
DCAM0063_JPG_jpg.rf.9841176702f8017809be0e39033b9f55.jpg,0.8970000147819519,93.7
306db6d3-imagem-abre_jpeg_jpg.rf.3891b0d3454f27f35d2456822a6a552c.jpg,0.8970000147819519,123.8
20333529_jpg.rf.fda3f9f93200bb2f3c08703abcadf945.jpg,0.8970000147819519,89.5
DCAM0018_JPG_jpg.rf.e1c5c41a9a04adfe7faafa05a82afb51.jpg,0.8980000019073486,80.9
20201229_132316864329_png_jpg.rf.e9a9af162acfb4a1b971045c4c13255d.jpg,0.8999999761581421,122.1
20201229_132409875246_png_jpg.rf.e017a85427afca2fb6b8c13f2d30314f.jpg,0.9010000228881836,128.0
17705097_jpg.rf.d1ee6693e4a264f288db2abc96b71050.jpg,0.9020000100135803,76.0
20201229_132353053467_png_jpg.rf.ee68d7a99c009621eaa40e34960d890e.jpg,0.9020000100135803,130.2
20201229_132324727716_png_jpg.rf.700774c2eff51d1274fce1a9e2fbdae3.jpg,0.902999997138977,137.9
20201229_132316122459_png_jpg.rf.dcdb8843cfd0ae8514eed198014bb7fa.jpg,0.902999997138977,128.8
20201230_081435340860_png_jpg.rf.4b4d7e7bb065c592539716011c6dbf48.jpg,0.902999997138977,128.4
18236124_jpg.rf.90faa57bfdbd339b303e75afbf5b00aa.jpg,0.9039999842643738,128.2
20201229_132352906016_png_jpg.rf.a231f36ae896fbac77a4b780baf8bf70.jpg,0.9049999713897705,123.2
20201229_132415977898_png_jpg.rf.aaaa660a70f65272c531f3180b680d6d.jpg,0.906000018119812,133.8
DCAM0026_JPG_jpg.rf.6414a3e5fcff798f8492db8b16757426.jpg,0.906000018119812,84.8
20201229_132319352745_png_jpg.rf.2188a99091c6df4b55d51a706dc5af96.jpg,0.9070000052452087,125.7
17799995_jpg.rf.ccfb135566ec456007582d5e6bec1319.jpg,0.9070000052452087,85.1
17846621_jpg.rf.a76c0a9c1a9fc750bee9d07dcde232d2.jpg,0.9070000052452087,93.8
17813316_jpg.rf.74b378899a05f1054d153094b39490ec.jpg,0.9070000052452087,94.1
18160246_jpg.rf.ead4b4ecd8a5b2b5f0f09f738d98cafe.jpg,0.9079999923706055,110.8
17989126_jpg.rf.335492f60f4f7ea4118198f02ad15923.jpg,0.9079999923706055,86.0
20201229_132215974089_png_jpg.rf.66a2157d19ec2aaab13663da3046838d.jpg,0.9079999923706055,138.2
19765073_jpg.rf.770a34093593c907457035ac4f012d2f.jpg,0.9089999794960022,141.1
17827132_jpg.rf.156160581f33a6c1d46b7cb6692ee675.jpg,0.9100000262260437,96.4
DCAM0030_JPG_jpg.rf.925c28b8fe49185dd508bab7dacb83bc.jpg,0.9100000262260437,83.3
20201229_132325018415_png_jpg.rf.21de0a83342e1b27b7e31ae3a515ceb1.jpg,0.9100000262260437,140.5
DCAM0046_JPG_jpg.rf.2c926e4ee6f59c9c3ff30100e5b219fb.jpg,0.9120000004768372,92.1
20201229_132340181267_png_jpg.rf.ce59076c6cce758f2321f5aa19cfe386.jpg,0.9129999876022339,134.8
DCAM0014_JPG_jpg.rf.0695fcd4c86df86585cfeba839d892a2.jpg,0.9139999747276306,79.8
DCAM0088_JPG_jpg.rf.1742bd4d35f8211f57597efa5508f6c2.jpg,0.9139999747276306,92.2
DCAM0039_JPG_jpg.rf.07b3cdce8823026eec96b1bdaf1b3ae3.jpg,0.9139999747276306,84.3
17706416_jpg.rf.f9b5481cd89774eec2457d10364297c8.jpg,0.9150000214576721,84.5
20201229_132409729502_png_jpg.rf.79c25941894198c4fe739a3a06601dc6.jpg,0.9150000214576721,126.3
20201229_132317305646_png_jpg.rf.e56431b941f33602fe2597dd9474ca42.jpg,0.9150000214576721,132.9
17989153_jpg.rf.0d5f740ca3aa462aaa39c2fea56da062.jpg,0.9150000214576721,102.2
track0146-01-_png_jpg.rf.035fda586fd553f9889470dd0ab74de2.jpg,0.9160000085830688,119.9
track0121-01-_png_jpg.rf.e6060e18128b82a91984900ecc40c297.jpg,0.9160000085830688,87.5
20201229_132411662467_png_jpg.rf.23dffd37018ea93569e47057adfc7406.jpg,0.9160000085830688,137.1
20201229_132411365717_png_jpg.rf.22506f764275c9f079faa75caa25b47a.jpg,0.9169999957084656,126.5
20057110_jpg.rf.03d0f8c73967f08f92d745fd360c9231.jpg,0.9169999957084656,98.4
19561811_jpg.rf.4944be32a8a3e5f54c3cb4339443aeae.jpg,0.9169999957084656,108.0
17826951_jpg.rf.3a4dca2f6e2db4e89f4a6530c73f4ced.jpg,0.9190000295639038,79.4
20201229_132215229831_png_jpg.rf.85efe9ecb139bb54cd359872d7e16c8a.jpg,0.9190000295639038,122.1
20201229_132324582204_png_jpg.rf.01c3250159e92303cd73d69fdb4f9ed9.jpg,0.9200000166893005,137.5
DCAM0031_JPG_jpg.rf.820e9168adc68e79a01a59bea454e92a.jpg,0.9200000166893005,88.5
20201229_132140879035_png_jpg.rf.a4eb17e3a79ec4d2e085a24b4da6b65f.jpg,0.9200000166893005,123.2
20555110_jpg.rf.b8f73784ec2e7e9aee664a0241afe344.jpg,0.9200000166893005,84.7
track0136-01-_png_jpg.rf.39c97241047bb57a2bd6c4bd2e16ed9f.jpg,0.9200000166893005,118.3
17705670_jpg.rf.eaef566560df4f138a8acff1a2ff6943.jpg,0.9200000166893005,76.1
20201229_132409582825_png_jpg.rf.b3cd07386e39c9b287761e73411920b0.jpg,0.9200000166893005,124.6
20201229_132428445862_png_jpg.rf.44af0417ec759d7db61ac5fb75161c0b.jpg,0.9210000038146973,116.3
20201229_132428750887_png_jpg.rf.569c2c43a0341a60e5cdc2c0cb422fde.jpg,0.9210000038146973,124.4
DCAM0086_JPG_jpg.rf.25bbda292e70119a5206ce22a92d36a7.jpg,0.921999990940094,80.7
20201229_132131770772_png_jpg.rf.6a5b86dd4dc7f26e0734f479958de066.jpg,0.921999990940094,131.4
20201229_132131625259_png_jpg.rf.b47741efbe69cab81200341d7ed27151.jpg,0.9229999780654907,144.1
20201229_132316278643_png_jpg.rf.f7f90b80c18dbf1fb74f3da567b3cf11.jpg,0.9229999780654907,127.9
17873997_jpg.rf.d260e3f8a9bc68c7455114e684d74996.jpg,0.9229999780654907,73.6
17704853_jpg.rf.f584883805048af1b586af12b2284b45.jpg,0.9229999780654907,85.1
20201229_132324872994_png_jpg.rf.c02fb5445a85029987eb89a4a233f744.jpg,0.9240000247955322,139.8
18807255_jpg.rf.d5c42aef498fa9db7702c85f41a0522a.jpg,0.9240000247955322,93.8
20201229_132315973035_png_jpg.rf.749c97b28b9400fc11b68d76070f8cbd.jpg,0.9240000247955322,129.7
20201229_132131480758_png_jpg.rf.8626836450147bedcd9f3cb013f7319d.jpg,0.925000011920929,145.7
19561820_jpg.rf.19578e6133a27941e3097f1d709ed159.jpg,0.925000011920929,141.9
20201229_132340324267_png_jpg.rf.8d579aa5f0edfdaf987896183933c89e.jpg,0.925000011920929,135.5
DCAM0053_JPG_jpg.rf.640a0bfe1a38731050e363bf46b85b7d.jpg,0.925000011920929,88.3
17835163_jpg.rf.adf3bdd56e1f54e2e07a9b54ddd12b81.jpg,0.9259999990463257,92.2
20201229_132400406348_png_jpg.rf.ee2c9d992985b16f1792979bbae00c12.jpg,0.9259999990463257,120.5
20201229_132214341060_png_jpg.rf.a85dd2e6ea89fc7d9c619c8e593ec433.jpg,0.9259999990463257,126.8
18068054_jpg.rf.a0da824ff34643134839ab1df41d86da.jpg,0.9259999990463257,83.6
18560456_jpg.rf.d71be701d348ce52177fefcbf1a8db10.jpg,0.9259999990463257,136.1
20201229_132137917715_png_jpg.rf.d831838d58a1b3ca8c0bd52393673870.jpg,0.9269999861717224,134.5
20201230_081440722241_png_jpg.rf.dda4a7cbf9359105fb1e26aa66384eaa.jpg,0.9269999861717224,129.5
17861344_jpg.rf.cd94d6b77f969f074f74b940a0828e02.jpg,0.9279999732971191,85.0
DCAM0060_JPG_jpg.rf.f7cff99fccfc95d70fe366b772a2b6b2.jpg,0.9290000200271606,92.3
20201229_132332264710_png_jpg.rf.e51eb96778bcff3106fe0d5cc95fb8be.jpg,0.9290000200271606,124.1
20201229_132353204946_png_jpg.rf.943b11272b8ef6390bf850260f9d3712.jpg,0.9290000200271606,140.0
20201229_132411965378_png_jpg.rf.0eb79d3e840d68bcbeabbeb6bfeb9a60.jpg,0.9290000200271606,140.6
20201229_132138068153_png_jpg.rf.829f467de28618675a87c39aed867329.jpg,0.9290000200271606,137.2
DCAM0046_JPG_jpg.rf.3793bb16c2891ba87b4c3cc6c4cf9984.jpg,0.9300000071525574,85.9
20555112_jpg.rf.01c9224271c2888bb82171b56fcd6b9f.jpg,0.9300000071525574,81.1
20201229_132411517169_png_jpg.rf.372bdbe4f5699a71e81f4c25c8c7e806.jpg,0.9309999942779541,127.1
17707084_jpg.rf.5fe1490583ad8ae6d20672c59131e640.jpg,0.9309999942779541,101.5
18117194_jpg.rf.f1452d47757c932fce25a6a1abe42f44.jpg,0.9309999942779541,91.0
20201230_081443338481_png_jpg.rf.aa78f8f65a7289bca4a9373617bf6e32.jpg,0.9319999814033508,129.2
20201229_132317008911_png_jpg.rf.319608cfbf66192234deaced9cf74e5f.jpg,0.9319999814033508,128.4
20201229_132319522363_png_jpg.rf.40f96f8b50c0d03f5da2f21a4cb150ff.jpg,0.9319999814033508,142.8
20201229_132325308173_png_jpg.rf.9c3b27b99822ced077f2e39ef3214c1e.jpg,0.9319999814033508,142.1
20201229_132140731036_png_jpg.rf.95fc2919e2ff79010eb79106a57a892e.jpg,0.9330000281333923,112.4
DCAM0030_JPG_jpg.rf.138eed823d5c39d3c2705abea024ab99.jpg,0.9350000023841858,98.1
20394164_jpg.rf.025d09abc6b6531bbf69aa63fac5742b.jpg,0.9350000023841858,84.2
17714370_jpg.rf.f60a0b050aa4b103be24d003ed917296.jpg,0.9359999895095825,96.0
17786080_jpg.rf.b6306855c3adec8dc4e522fd5ad53d52.jpg,0.9369999766349792,79.5
